_id,numberShort,uicCountryCode,sloid,number,checkDigit,validFrom,validTo,designationOfficial,designationLong,abbreviation,operatingPoint,operatingPointWithTimetable,stopPoint,stopPointType,freightServicePoint,trafficPoint,borderPoint,hasGeolocation,isoCountryCode,cantonName,cantonFsoNumber,cantonAbbreviation,districtName,districtFsoNumber,municipalityName,fsoNumber,localityName,operatingPointType,operatingPointTechnicalTimetableType,meansOfTransport,categories,operatingPointTrafficPointType,operatingPointRouteNetwork,operatingPointKilometer,operatingPointKilometerMasterNumber,sortCodeOfDestinationStation,businessOrganisation,businessOrganisationNumber,businessOrganisationAbbreviationDe,businessOrganisationAbbreviationFr,businessOrganisationAbbreviationIt,businessOrganisationAbbreviationEn,businessOrganisationDescriptionDe,businessOrganisationDescriptionFr,businessOrganisationDescriptionIt,businessOrganisationDescriptionEn,fotComment,lv95East,lv95North,wgs84East,wgs84North,height,creationDate,editionDate,status
18460,8066,85,ch:1:sloid:8066,8508066,3,2021-04-01,9999-12-31,Lohn-Lüterkofen,,LOLU,true,true,true,ORDERLY,true,true,false,true,CH,Solothurn,11,SO,Wasseramt,1106,Lohn-Ammannsegg,2526,Lohn-Ammannsegg,,,TRAIN,PARK_AND_RAIL,,true,true,8508066,80663,ch:1:sboid:100066,88,RBS,RBS,RBS,RBS,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,,2606697.767,1223562.068,7.52695999344,47.16299000153,464.1,2017-11-09 21:30:00,2024-04-08 09:26:06,VALIDATED
18462,8063,85,ch:1:sloid:8063,8508063,0,2021-04-01,9999-12-31,Schalunen,,SCN,true,true,true,ORDERLY,false,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Fraubrunnen,538,Schalunen,,,TRAIN,PARK_AND_RAIL,,true,true,8508063,,ch:1:sboid:100066,88,RBS,RBS,RBS,RBS,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,,2606492.551,1217688.467,7.52417000108,47.1101600016,501.3,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
18463,8068,85,ch:1:sloid:8068,8508068,9,2021-04-01,9999-12-31,Biberist RBS,,BIBS,true,true,true,ORDERLY,false,true,false,true,CH,Solothurn,11,SO,Wasseramt,1106,Biberist,2513,Biberist,,,TRAIN,PARK_AND_RAIL,,true,true,8508068,,ch:1:sboid:100066,88,RBS,RBS,RBS,RBS,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,,2608883.451,1225885.15,7.55583057208,47.18386000659,458.3,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
18465,8071,85,ch:1:sloid:8071,8508071,3,2021-04-01,9999-12-31,Schönbühl Shoppyland,,SCSH,true,true,true,ORDERLY,false,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Moosseedorf,544,Urtenen-Schönbühl,,,TRAIN,,,true,true,8508071,,ch:1:sboid:100066,88,RBS,RBS,RBS,RBS,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,,2604181.568,1207509.626,7.49362999456,47.01861999567,526.7,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
18467,8070,85,ch:1:sloid:8070,8508070,5,2021-04-01,9999-12-31,Oberzollikofen,,OBZO,true,true,true,ORDERLY,false,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Zollikofen,361,Zollikofen,,,TRAIN,,,true,true,8508070,,ch:1:sboid:100066,88,RBS,RBS,RBS,RBS,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,,2601749.279,1205099.35,7.46162999571,46.99694999428,557.6,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
18469,8081,85,ch:1:sloid:8081,8508081,2,2021-04-01,9999-12-31,Burgdorf Steinhof,,BDFS,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Emmental,245,Burgdorf,404,Burgdorf,,,TRAIN,,,true,true,8508081,80812,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2613746.1639,1211145.8909,7.61953942949,47.05119989377,544.4,2017-11-09 21:30:06,2024-04-08 09:26:06,VALIDATED
18476,8080,85,ch:1:sloid:8080,8508080,4,2021-04-01,9999-12-31,Oberburg,,OBB,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Emmental,245,Burgdorf,404,Oberburg,,,TRAIN,PARK_AND_RAIL,,true,true,8508080,80804,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2614494.185,1209859.12,7.6293428672,47.03960954324,546.85,2017-11-09 21:30:03,2024-04-08 09:26:06,VALIDATED
18481,8083,85,ch:1:sloid:8083,8508083,8,2021-04-01,9999-12-31,Burgdorf Buchmatt,,BDFB,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Emmental,245,Burgdorf,404,Burgdorf,,,TRAIN,,,true,true,8508083,80838,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2612886.913,1212729.098,7.60827597482,47.06545797084,525.05,2017-11-09 21:30:08,2024-04-08 09:26:06,VALIDATED
18482,8101,85,ch:1:sloid:8101,8508101,8,2021-04-01,9999-12-31,Roggwil-Wynau,,ROG,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Oberaargau,244,Roggwil (BE),337,Roggwil BE,,,TRAIN,,,true,true,8508101,81018,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2628484.914,1233482.174,7.81491637783,47.25163965188,432.0,2017-11-09 21:30:30,2024-04-08 09:26:06,VALIDATED
18486,8100,85,ch:1:sloid:8100,8508100,0,2021-04-01,9999-12-31,Langenthal,,LTH,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Oberaargau,244,Langenthal,329,Langenthal,,,TRAIN,PARK_AND_RAIL,,true,true,8508100,81000,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2626215.515,1229654.225,7.78471513555,47.21730287149,472.0,2017-11-09 21:30:27,2024-04-08 09:26:06,VALIDATED
18488,8085,85,ch:1:sloid:8085,8508085,3,2021-04-01,9999-12-31,Aefligen,,AEF,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Emmental,245,Aefligen,401,Aefligen,,,TRAIN,PARK_AND_RAIL,,true,true,8508085,80853,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2609157.851,1216072.521,7.55925321768,47.09559351073,496.9,2017-11-09 21:30:14,2024-04-08 09:26:06,VALIDATED
18489,8103,85,ch:1:sloid:8103,8508103,4,2021-04-01,9999-12-31,Rothrist,,RTR,true,true,true,ORDERLY,true,true,false,true,CH,Aargau,19,AG,Zofingen,1910,Rothrist,4282,Rothrist,,,TRAIN,PARK_AND_RAIL,,true,true,8508103,81034,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2633331.79,1239601.841,7.87939646804,47.30645567945,407.0,2017-11-09 21:30:36,2024-04-08 09:26:06,VALIDATED
18490,8084,85,ch:1:sloid:8084,8508084,6,2021-04-01,9999-12-31,Kirchberg-Alchenflüh,,KIAL,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Emmental,245,Rüdtligen-Alchenflüh,420,Alchenflüh,,,TRAIN,PARK_AND_RAIL,,true,true,8508084,80846,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2610816.437,1214664.205,7.58106589855,47.08290098077,509.0,2017-11-09 21:30:11,2024-04-08 09:26:06,VALIDATED
18491,8102,85,ch:1:sloid:8102,8508102,6,2021-04-01,9999-12-31,Murgenthal,,MGT,true,true,true,ORDERLY,true,true,false,true,CH,Aargau,19,AG,Zofingen,1910,Murgenthal,4279,Murgenthal,,,TRAIN,PARK_AND_RAIL,,true,true,8508102,81026,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2629778.496,1235016.297,7.8321059408,47.26538126991,414.0,2017-11-09 21:30:33,2025-06-10 14:00:06,VALIDATED
18492,8087,85,ch:1:sloid:8087,8508087,9,2021-04-01,9999-12-31,Wiler,,WR,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Emmental,245,Wiler bei Utzenstorf,554,Wiler b. Utzenstorf,,,TRAIN,PARK_AND_RAIL,,true,true,8508087,80879,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2608896.448,1222376.126,7.5559333442,47.15229701951,463.05,2017-11-09 21:30:18,2024-04-08 09:26:06,VALIDATED
18495,8086,85,ch:1:sloid:8086,8508086,1,2021-04-01,9999-12-31,Utzenstorf,,UT,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Emmental,245,Utzenstorf,552,Utzenstorf,,,TRAIN,PARK_AND_RAIL,,true,true,8508086,80861,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2608725.261,1219845.542,7.55362761912,47.12953714998,474.45,2017-11-09 21:30:15,2024-04-08 09:26:06,VALIDATED
18500,8089,85,ch:1:sloid:8089,8508089,5,2023-08-30,9999-12-31,Biberist Ost,,BIST,true,true,true,ORDERLY,true,true,false,true,CH,Solothurn,11,SO,Wasseramt,1106,Biberist,2513,Biberist,,,TRAIN,PARK_AND_RAIL,,true,true,8508089,80895,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2609669.306,1225524.145,7.56619090812,47.18060191898,446.55,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
18503,8088,85,ch:1:sloid:8088,8508088,7,2021-04-01,9999-12-31,Gerlafingen,,GLF,true,true,true,ORDERLY,true,true,false,true,CH,Solothurn,11,SO,Wasseramt,1106,Gerlafingen,2519,Gerlafingen,,,TRAIN,PARK_AND_RAIL,,true,true,8508088,80887,ch:1:sboid:100026,45,BLS-ebt,BLS-ebt,BLS-ebt,BLS-ebt,BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),BLS AG (ebt),,2609602.76,1224407.944,7.56528939033,47.17056294684,451.85,2017-11-09 21:30:21,2024-04-08 09:26:06,VALIDATED
