"country","name","url","lon","lat","h3","population"
"GB","Acton Bridge","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACB",-2.602689,53.265961,612934966719807487,180
"GB","Acton Central","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACC",-0.263601,51.508717,612934498096513023,7501
"GB","Acton Main Line","https://www.realtimetrains.co.uk/search/simple/gb-nr:AML",-0.26762,51.516865,612935789369622527,6622
"GB","Adderley Park","https://www.realtimetrains.co.uk/search/simple/gb-nr:ADD",-1.854184,52.483505,612935677408968703,6706
"GB","Addiewell","https://www.realtimetrains.co.uk/search/simple/gb-nr:ADW",-3.60655,55.843449,612937214218731519,1000
"GB","Addlestone","https://www.realtimetrains.co.uk/search/simple/gb-nr:ASN",-0.48571,51.372414,612935759042707455,2916
"GB","Adisham","https://www.realtimetrains.co.uk/search/simple/gb-nr:ADM",1.199277,51.241352,612934324026605567,28
"GB","Adlington (Cheshire)","https://www.realtimetrains.co.uk/search/simple/gb-nr:ADC",-2.133571,53.319542,612933917743251455,95
"GB","Adlington (Lancashire)","https://www.realtimetrains.co.uk/search/simple/gb-nr:ADL",-2.603084,53.612926,612934956091441151,1403
"IT","Adria","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=378&arrivals=False",12.054148,45.060533,613028347779219455,2588
"GB","Adwick","https://www.realtimetrains.co.uk/search/simple/gb-nr:AWK",-1.181465,53.572994,612933894852837375,873
"IT","Africo Nuovo","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=4&arrivals=False",16.143925,38.052704,613600498542444543,662
"FR","Agay","https://www.garesetconnexions.sncf/fr/gares-services/agay/horaires#main-content",6.8564997,43.4313701,613499520149356543,678
"FR","Agde","https://www.garesetconnexions.sncf/fr/gares-services/agde/horaires#main-content",3.466203,43.31728,613499904215482367,163
"FR","Agen","https://www.garesetconnexions.sncf/fr/gares-services/agen/horaires#main-content",0.620932,44.208311,613499194908344319,1879
"IT","Agliano Castelnuovo Calcea","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=379&arrivals=False",8.26778,44.7861,613045614537605119,29
"IT","Agognate","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=3252&arrivals=False",\N,\N,\N,0
"FR","Agonac","https://www.garesetconnexions.sncf/fr/gares-services/agonac/horaires#main-content",0.7486706,45.2865966,612919009909669887,232
"IT","Agrigento Bassa","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=383&arrivals=False",13.588031,37.319131,613601483451006975,1723
"IT","Agrigento Centrale","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=384&arrivals=False",13.584417,37.309063,613601483442618367,4472
"IT","Agropoli Castellabate","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=5&arrivals=False",15.001755,40.351534,613028149122301951,589
"FR","Aguilcourt - Variscourt","https://www.garesetconnexions.sncf/fr/gares-services/aguilcourt-variscourt/horaires#main-content",3.973137,49.408017,613047358944444415,11
"IT","Aielli","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=386&arrivals=False",\N,\N,\N,0
"GB","Aigburth","https://www.realtimetrains.co.uk/search/simple/gb-nr:AIG",-2.927041,53.364614,612934921343729663,3045
"FR","Aigrefeuille le Thou","https://www.garesetconnexions.sncf/fr/gares-services/aigrefeuille-thou/horaires#main-content",-0.95168,46.09402,612919047197032447,177
"FR","Aiguebelette-le-Lac","https://www.garesetconnexions.sncf/fr/gares-services/aiguebelette-lac/horaires#main-content",5.8131468,45.5363048,613044900054695935,120
"FR","Aiguebelle","https://www.garesetconnexions.sncf/fr/gares-services/aiguebelle/horaires#main-content",6.3067174999999995,45.5437225,613045799500120063,608
"FR","Aigueperse","https://www.garesetconnexions.sncf/fr/gares-services/aigueperse/horaires#main-content",3.1982621,46.0147884,613045263759572991,284
"FR","Aigues-Mortes","https://www.garesetconnexions.sncf/fr/gares-services/aigues-mortes/horaires#main-content",4.1912102,43.5709008,613499746385919999,1209
"FR","Aiguillon","https://www.garesetconnexions.sncf/fr/gares-services/aiguillon/horaires#main-content",0.3352388,44.2987224,613499197563338751,124
"FR","Aillevillers","https://www.garesetconnexions.sncf/fr/gares-services/aillevillers/horaires#main-content",6.3372988,47.9138876,613043757102661631,191
